,gene_id,go_identifier
23745,AT1G47720,GO:0000002
77734,AT3G10140,GO:0000002
87819,AT3G24320,GO:0000002
12500,AT1G18450,GO:0000003
27926,AT1G54490,GO:0000003
47303,AT2G06210,GO:0000003
64394,AT2G38440,GO:0000003
71333,AT2G47980,GO:0000003
72817,AT3G02680,GO:0000003
85337,AT3G20740,GO:0000003
92593,AT3G44600,GO:0000003
95025,AT3G48190,GO:0000003
103900,AT3G61140,GO:0000003
108236,AT4G03550,GO:0000003
108914,AT4G04970,GO:0000003
119110,AT4G22970,GO:0000003
128108,AT4G34840,GO:0000003
131007,AT4G38800,GO:0000003
145831,AT5G22010,GO:0000003
147628,AT5G24630,GO:0000003
149287,AT5G27540,GO:0000003
7520,AT1G11190,GO:0000014
118275,AT4G21600,GO:0000014
153473,AT5G41150,GO:0000014
39643,AT1G74030,GO:0000015
58016,AT2G29560,GO:0000015
62935,AT2G36530,GO:0000015
1162,AT1G02560,GO:0000023
1700,AT1G03310,GO:0000023
1877,AT1G03630,GO:0000023
1937,AT1G03680,GO:0000023
4514,AT1G07280,GO:0000023
4648,AT1G07440,GO:0000023
6603,AT1G09795,GO:0000023
9491,AT1G14030,GO:0000023
12694,AT1G18730,GO:0000023
15228,AT1G22630,GO:0000023
16827,AT1G26230,GO:0000023
19840,AT1G31190,GO:0000023
19868,AT1G31230,GO:0000023
20172,AT1G31800,GO:0000023
22731,AT1G43560,GO:0000023
23068,AT1G44575,GO:0000023
24293,AT1G48600,GO:0000023
24731,AT1G49380,GO:0000023
27852,AT1G54350,GO:0000023
28936,AT1G56190,GO:0000023
29160,AT1G56500,GO:0000023
32066,AT1G62750,GO:0000023
32110,AT1G62780,GO:0000023
34974,AT1G66980,GO:0000023
36086,AT1G68600,GO:0000023
37528,AT1G70730,GO:0000023
37579,AT1G70820,GO:0000023
39301,AT1G73600,GO:0000023
39353,AT1G73655,GO:0000023
41411,AT1G76450,GO:0000023
41635,AT1G76730,GO:0000023
41843,AT1G77090,GO:0000023
42712,AT1G78370,GO:0000023
44646,AT2G01110,GO:0000023
45166,AT2G01870,GO:0000023
46064,AT2G03420,GO:0000023
46737,AT2G04700,GO:0000023
47134,AT2G05830,GO:0000023
52799,AT2G21530,GO:0000023
54037,AT2G23390,GO:0000023
56191,AT2G26900,GO:0000023
56337,AT2G27040,GO:0000023
58058,AT2G29630,GO:0000023
58548,AT2G30390,GO:0000023
59070,AT2G31040,GO:0000023
62518,AT2G35960,GO:0000023
62632,AT2G36145,GO:0000023
65502,AT2G39930,GO:0000023
66206,AT2G40840,GO:0000023
68022,AT2G43530,GO:0000023
71047,AT2G47590,GO:0000023
71813,AT3G01440,GO:0000023
71935,AT3G01510,GO:0000023
72046,AT3G01660,GO:0000023
72837,AT3G02730,GO:0000023
73216,AT3G03250,GO:0000023
75499,AT3G06510,GO:0000023
76282,AT3G07670,GO:0000023
